Location,Total incidents,Race,Religion,SexualOrientation,Ethnicity,Disability,Year,Gender,Gender Identity
Daycare facility,2,,0,0,1,1,2015,0.0,0.0
Department/discount store,68,,12,5,48,0,2015,2.0,1.0
Dock/wharf/freight/modal terminal,3,,0,0,3,0,2015,0.0,0.0
Drug store/doctor's office/hospital,66,,10,4,50,0,2015,1.0,1.0
Farm facility,3,,0,0,3,0,2015,0.0,0.0
Field/woods,31,,4,3,21,1,2015,0.0,1.0
Gambling facility/casino/race track,3,,0,0,3,0,2015,0.0,0.0
Government/public building,104,,13,12,74,1,2015,0.0,3.0
Grocery/supermarket,48,,5,6,35,1,2015,0.0,1.0
Highway/road/alley/street/sidewalk,1018,,99,266,588,16,2015,2.0,38.0
Hotel/motel/etc.,49,,9,9,28,1,2015,1.0,1.0
Industrial site,14,,0,2,11,0,2015,0.0,1.0
Jail/prison/penitentiary/corrections facility,58,,6,11,38,2,2015,1.0,0.0
Lake/waterway/beach,9,,0,4,5,0,2015,0.0,0.0
Liquor store,14,,3,3,8,0,2015,0.0,0.0
Military installation,2,,1,0,1,0,2015,0.0,0.0
Park/playground,88,,18,13,53,1,2015,0.0,3.0
Parking/drop lot/garage,328,,51,53,212,3,2015,1.0,7.0
Rental storage facility,4,,1,0,2,0,2015,1.0,0.0
Residence/home,1843,,318,345,1109,28,2015,10.0,27.0
Rest area,4,,1,0,3,0,2015,0.0,0.0
Restaurant,125,,13,25,83,1,2015,0.0,1.0
School/college2,149,,57,19,73,0,2015,0.0,0.0
School—college/university,152,,41,19,85,2,2015,0.0,3.0
School—elementary/secondary,184,,44,25,103,4,2015,2.0,4.0
Service/gas station,65,,11,7,46,0,2015,0.0,0.0
Shelter—mission/homeless,8,,0,0,7,1,2015,0.0,0.0
Shopping mall,11,,0,2,7,0,2015,0.0,1.0
"Specialty store (TV, fur, etc.)",43,,8,8,25,2,2015,0.0,0.0
Other/unknown,642,,235,125,269,5,2015,2.0,5.0
Total,6121,,1273,1076,3489,70,2016,31.0,124.0
Abandoned/condemned structure,5,,3,0,2,0,2016,0.0,0.0
Air/bus/train terminal,94,,11,16,60,2,2016,0.0,2.0
Amusement park,1,,0,1,0,0,2016,0.0,0.0
Arena/stadium/fairgrounds/coliseum,6,,1,1,4,0,2016,0.0,0.0
ATM separate from bank,1,,0,0,1,0,2016,0.0,0.0
Auto dealership new/used,6,,0,0,6,0,2016,0.0,0.0
Bank/savings and loan,20,,6,1,11,0,2016,1.0,1.0
Bar/nightclub,96,,3,43,49,0,2016,0.0,0.0
Camp/campground,3,,0,1,2,0,2016,0.0,0.0
Church/synagogue/temple/mosque,241,,194,8,36,0,2016,0.0,0.0
Commercial office building,117,,29,20,63,1,2016,0.0,3.0
Community center,11,,4,2,5,0,2016,0.0,0.0
Construction site,19,,7,0,12,0,2016,0.0,0.0
Convenience store,88,,16,11,57,0,2016,1.0,3.0
Cyberspace,4,,0,1,3,0,2016,0.0,0.0
Daycare facility,2,,0,0,2,0,2016,0.0,0.0
Department/discount store,72,,11,13,45,2,2016,0.0,1.0
Dock/wharf/freight/modal terminal,3,,1,0,2,0,2016,0.0,0.0
Drug store/doctor's office/hospital,64,,11,2,49,2,2016,0.0,0.0
Farm facility,0,,0,0,0,0,2016,0.0,0.0
Field/woods,31,,7,2,19,0,2016,0.0,3.0
Gambling facility/casino/race track,3,,0,0,3,0,2016,0.0,0.0
Government/public building,111,,24,10,73,1,2016,2.0,0.0
Grocery/supermarket,62,,7,8,46,0,2016,0.0,1.0
Highway/road/alley/street/sidewalk,1128,,117,241,718,7,2016,1.0,35.0
Hotel/motel/etc.,44,,3,8,32,0,2016,0.0,1.0
Industrial site,12,,1,1,10,0,2016,0.0,0.0
Jail/prison/penitentiary/corrections facility,61,,3,13,42,1,2016,1.0,0.0
Lake/waterway/beach,6,,0,4,2,0,2016,0.0,0.0
Liquor store,15,,2,1,12,0,2016,0.0,0.0
Military installation,0,,0,0,0,0,2016,0.0,0.0
Park/playground,98,,13,12,66,2,2016,1.0,2.0
Parking/drop lot/garage,351,,50,68,222,3,2016,0.0,5.0
